FACID,FACID,LAT,LON,totpop,buff,stabbr,statename,region,RAW_E_PM25,S_E_PM25_PER,R_E_PM25_PER,N_E_PM25_PER,S_E_PM25,R_E_PM25,N_E_PM25,RAW_E_O3,S_E_O3_PER,R_E_O3_PER,N_E_O3_PER,S_E_O3,R_E_O3,N_E_O3,RAW_E_DIESEL,S_E_DIESEL_PER,R_E_DIESEL_PER,N_E_DIESEL_PER,S_E_DIESEL,R_E_DIESEL,N_E_DIESEL,RAW_E_CANCER,S_E_CANCER_PER,R_E_CANCER_PER,N_E_CANCER_PER,S_E_CANCER,R_E_CANCER,N_E_CANCER,RAW_E_NEURO,S_E_NEURO_PER,R_E_NEURO_PER,N_E_NEURO_PER,S_E_NEURO,R_E_NEURO,N_E_NEURO,RAW_E_RESP,S_E_RESP_PER,R_E_RESP_PER,N_E_RESP_PER,S_E_RESP,R_E_RESP,N_E_RESP,RAW_E_TRAFFIC,S_E_TRAFFIC_PER,R_E_TRAFFIC_PER,N_E_TRAFFIC_PER,S_E_TRAFFIC,R_E_TRAFFIC,N_E_TRAFFIC,RAW_E_LEAD,S_E_LEAD_PER,R_E_LEAD_PER,N_E_LEAD_PER,S_E_LEAD,R_E_LEAD,N_E_LEAD,RAW_E_NPL,S_E_NPL_PER,R_E_NPL_PER,N_E_NPL_PER,S_E_NPL,R_E_NPL,N_E_NPL,RAW_E_RMP,S_E_RMP_PER,R_E_RMP_PER,N_E_RMP_PER,S_E_RMP,R_E_RMP,N_E_RMP,RAW_E_TSDF,S_E_TSDF_PER,R_E_TSDF_PER,N_E_TSDF_PER,S_E_TSDF,R_E_TSDF,N_E_TSDF,RAW_E_NPDES,S_E_NPDES_PER,R_E_NPDES_PER,N_E_NPDES_PER,S_E_NPDES,R_E_NPDES,N_E_NPDES,RAW_D_INDEX,S_D_INDEX_PER,R_D_INDEX_PER,N_D_INDEX_PER,S_D_INDEX,R_D_INDEX,N_D_INDEX,RAW_D_MINOR,S_D_MINOR_PER,R_D_MINOR_PER,N_D_MINOR_PER,S_D_MINOR,R_D_MINOR,N_D_MINOR,RAW_D_INCOME,S_D_INCOME_PER,R_D_INCOME_PER,N_D_INCOME_PER,S_D_INCOME,R_D_INCOME,N_D_INCOME,RAW_D_LING,S_D_LING_PER,R_D_LING_PER,N_D_LING_PER,S_D_LING,R_D_LING,N_D_LING,RAW_D_LESSHS,S_D_LESSHS_PER,R_D_LESSHS_PER,N_D_LESSHS_PER,S_D_LESSHS,R_D_LESSHS,N_D_LESSHS,RAW_D_UNDER5,S_D_UNDER5_PER,R_D_UNDER5_PER,N_D_UNDER5_PER,S_D_UNDER5,R_D_UNDER5,N_D_UNDER5,RAW_D_OVER64,S_D_OVER64_PER,R_D_OVER64_PER,N_D_OVER64_PER,S_D_OVER64,R_D_OVER64,N_D_OVER64
11,11,45.377124,-95.673867,153.9882056,NA,Minnesota,MN,5,8.93,18,6,37,9.95,10.6,9.32,45.2,74,10,33,44.2,50.3,47.4,0.2,12,3,7,0.753,0.931,0.937,18,4,1,1,36,34,40, NA,NA,NA,NA,0,0,0,0.62,9,3,3,2.2,1.7,1.8,8.4,17,17,15,350,370,590,0.52,76,68,77,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,0.47,65,68,74,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.026,4,1,2,0.21,0.31,0.31,14,35,25,15,22,29,36,1,5,7,3,18,24,37,26,55,43,40,27,33,35,0,56,58,44,2,2,5,11,76,60,51,8,11,14,4,22,29,28,6,6,6,18,76,75,76,14,14,14
12,12,41.25,-76.033333,125.843736,NA,Pennsylvania,PA,3,8.73,6,19,34,10.5,9.84,9.32,44.1,1,0,26,49.1,49.8,47.4,0.21,4,4,7,0.927,0.918,0.937,27,13,8,12,41,42,40, NA,NA,NA,NA,0,0,0,0.91,11,9,11,1.8,1.8,1.8,170,66,62,59,250,350,590,0.62,64,76,82,0.49,0.37,0.3,0.062,34,40,51,0.18,0.15,0.13,0.7,79,85,82,0.45,0.35,0.43,0.12,66,73,84,0.12,0.11,0.072,0.15,29,44,50,0.51,0.37,0.31,23,61,48,36,26,30,36,8,44,29,20,21,31,37,37,68,69,58,31,29,35,0,56,55,44,2,2,5,23,89,87,80,11,12,14,3,19,18,17,6,6,6,21,78,81,84,16,15,14
13,13,40.31943,-98.904137,136.4536517,NA,Nebraska,NE,7,7.98,14,3,20,9.27,9.75,9.32,51.2,85,34,70,49.2,53,47.4,0.184,6,2,5,0.759,0.779,0.937,21,13,3,3,31,38,40, NA,NA,NA,NA,0,0,0,0.51,8,1,1,1.2,1.5,1.8,2.2,6,7,7,140,490,590,0.77,89,90,90,0.38,0.36,0.3,0.02,28,25,18,0.13,0.097,0.13,1.7,82,91,94,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.019,6,2,1,0.21,0.22,0.31,24,60,57,38,25,26,36,3,13,15,7,19,18,37,45,76,73,69,32,33,35,0,57,65,44,3,2,5,10,68,59,48,9,11,14,3,15,17,20,7,7,6,20,77,78,82,14,14,14
14,14,41.576111,-75.471944,1027.115103,NA,Pennsylvania,PA,3,8.05,1,2,22,10.5,9.84,9.32,45.2,6,3,33,49.1,49.8,47.4,0.562,35,33,37,0.927,0.918,0.937,30,19,15,19,41,42,40, NA,NA,NA,NA,0,0,0,1.2,22,22,22,1.8,1.8,1.8,120,60,57,54,250,350,590,0.61,63,76,82,0.49,0.37,0.3,0.029,8,12,26,0.18,0.15,0.13,0.62,76,83,80,0.45,0.35,0.43,0,9,15,26,0.12,0.11,0.072,0.15,30,45,51,0.51,0.37,0.31,26,68,55,43,26,30,36,11,53,35,26,21,31,37,41,74,75,64,31,29,35,1,59,57,46,2,2,5,12,62,59,54,11,12,14,8,79,75,70,6,6,6,18,66,71,76,16,15,14
15,15,43.499833,-93.4965,461.8458976,NA,Minnesota,MN,5,9.47,27,11,49,9.95,10.6,9.32,48.3,98,18,49,44.2,50.3,47.4,0.245,18,5,10,0.753,0.931,0.937,21,13,3,3,36,34,40, NA,NA,NA,NA,0,0,0,0.68,12,5,5,2.2,1.7,1.8,17,26,26,24,350,370,590,0.64,83,76,83,0.33,0.39,0.3,0.015,20,10,18,0.18,0.12,0.13,0.77,77,79,84,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.051,14,6,9,0.21,0.31,0.31,16,45,34,22,22,29,36,6,32,30,16,18,24,37,26,56,44,41,27,33,35,0,57,58,44,2,2,5,6,50,36,31,8,11,14,7,57,61,58,6,6,6,20,80,80,81,14,14,14
16,16,44.708917,-96.277167,1777.969996,NA,Minnesota,MN,5,8.6,13,4,32,9.95,10.6,9.32,47.4,92,15,44,44.2,50.3,47.4,0.169,9,2,5,0.753,0.931,0.937,17,1,0,0,36,34,40, NA,NA,NA,NA,0,0,0,0.42,0,0,0,2.2,1.7,1.8,130,66,58,55,350,370,590,0.63,82,75,83,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,1.1,86,86,89,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0.021,3,0,1,0.21,0.31,0.31,23,65,52,36,22,29,36,8,40,37,20,18,24,37,37,76,63,59,27,33,35,1,60,60,46,2,2,5,16,88,76,66,8,11,14,5,41,46,45,6,6,6,27,94,94,93,14,14,14
17,17,44.878889,-97.728333,1072.29992,NA,South Dakota,SD,8,8.18,47,72,24,7.89,7.17,9.32,46.9,14,15,42,50.3,54.6,47.4,0.126,24,19,3,0.294,0.605,0.937,16,4,8,0,22,30,40, NA,NA,NA,NA,0,0,0,0.37,7,7,0,0.82,1.4,1.8,9.8,41,17,17,49,250,590,0.53,75,85,77,0.34,0.23,0.3,0,78,36,16,0.016,0.11,0.13,2.1,99,98,96,0.29,0.34,0.43,0,100,44,26,0,0.04,0.072,0.019,15,6,1,0.2,0.27,0.31,16,37,30,21,25,27,36,2,11,3,4,16,23,37,31,50,54,49,33,31,35,0,69,55,44,1,2,5,14,78,77,60,9,9,14,5,32,33,41,7,7,6,31,96,97,96,15,12,14
18,18,46.983389,-96.750028,43.1466031,NA,Minnesota,MN,5,8.56,12,4,31,9.95,10.6,9.32,42.9,18,2,23,44.2,50.3,47.4,0.226,15,5,9,0.753,0.931,0.937,19,6,1,1,36,34,40, NA,NA,NA,NA,0,0,0,0.63,10,3,3,2.2,1.7,1.8,8.9,19,17,16,350,370,590,0.37,63,54,66,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,0.29,55,58,65,0.5,0.51,0.43,0.066,52,69,68,0.11,0.069,0.072,0.12,52,36,40,0.21,0.31,0.31,7,7,5,3,22,29,36,2,11,12,6,18,24,37,12,19,14,14,27,33,35,0,56,58,44,2,2,5,5,41,29,25,8,11,14,4,19,25,25,6,6,6,14,60,56,60,14,14,14
19,19,45.4658,-98.3752,20.06344629,NA,South Dakota,SD,8,7.96,38,66,20,7.89,7.17,9.32,44.1,0,10,27,50.3,54.6,47.4,0.151,32,22,4,0.294,0.605,0.937,16,7,9,0,22,30,40, NA,NA,NA,NA,0,0,0,0.41,15,9,0,0.82,1.4,1.8,2.9,18,7,8,49,250,590,0.29,49,70,59,0.34,0.23,0.3,0,78,36,16,0.016,0.11,0.13,0.14,45,36,39,0.29,0.34,0.43,0,100,44,26,0,0.04,0.072,0.072,43,17,18,0.2,0.27,0.31,9,9,7,5,25,27,36,2,11,3,4,16,23,37,15,17,23,21,33,31,35,1,77,64,51,1,2,5,6,38,48,31,9,9,14,7,55,55,64,7,7,6,10,31,48,38,15,12,14
20,20,40.559222,-88.717111,20.26315789,NA,Illinois,IL,5,10.2,7,27,68,11.2,10.6,9.32,52.6,83,79,78,50.8,50.3,47.4,0.319,3,11,17,1.28,0.931,0.937,25,1,10,7,36,34,40, NA,NA,NA,NA,0,0,0,0.62,0,3,3,1.8,1.7,1.8,0.11,0,3,3,500,370,590,0.78,82,85,91,0.42,0.39,0.3,0.0098,7,10,17,0.095,0.12,0.13,0.5,60,70,76,0.69,0.51,0.43,0.00077,20,25,27,0.059,0.069,0.072,0.039,1,3,5,0.38,0.31,0.31,17,28,35,22,35,29,36,2,5,9,4,37,24,37,32,56,54,50,32,33,35,0,44,58,44,5,2,5,6,38,38,33,12,11,14,8,73,74,71,6,6,6,14,59,53,57,13,14,14
