FACID,FACID,LAT,LON,totpop,buff,stabbr,statename,region,RAW_E_PM25,S_E_PM25_PER,R_E_PM25_PER,N_E_PM25_PER,S_E_PM25,R_E_PM25,N_E_PM25,RAW_E_O3,S_E_O3_PER,R_E_O3_PER,N_E_O3_PER,S_E_O3,R_E_O3,N_E_O3,RAW_E_DIESEL,S_E_DIESEL_PER,R_E_DIESEL_PER,N_E_DIESEL_PER,S_E_DIESEL,R_E_DIESEL,N_E_DIESEL,RAW_E_CANCER,S_E_CANCER_PER,R_E_CANCER_PER,N_E_CANCER_PER,S_E_CANCER,R_E_CANCER,N_E_CANCER,RAW_E_NEURO,S_E_NEURO_PER,R_E_NEURO_PER,N_E_NEURO_PER,S_E_NEURO,R_E_NEURO,N_E_NEURO,RAW_E_RESP,S_E_RESP_PER,R_E_RESP_PER,N_E_RESP_PER,S_E_RESP,R_E_RESP,N_E_RESP,RAW_E_TRAFFIC,S_E_TRAFFIC_PER,R_E_TRAFFIC_PER,N_E_TRAFFIC_PER,S_E_TRAFFIC,R_E_TRAFFIC,N_E_TRAFFIC,RAW_E_LEAD,S_E_LEAD_PER,R_E_LEAD_PER,N_E_LEAD_PER,S_E_LEAD,R_E_LEAD,N_E_LEAD,RAW_E_NPL,S_E_NPL_PER,R_E_NPL_PER,N_E_NPL_PER,S_E_NPL,R_E_NPL,N_E_NPL,RAW_E_RMP,S_E_RMP_PER,R_E_RMP_PER,N_E_RMP_PER,S_E_RMP,R_E_RMP,N_E_RMP,RAW_E_TSDF,S_E_TSDF_PER,R_E_TSDF_PER,N_E_TSDF_PER,S_E_TSDF,R_E_TSDF,N_E_TSDF,RAW_E_NPDES,S_E_NPDES_PER,R_E_NPDES_PER,N_E_NPDES_PER,S_E_NPDES,R_E_NPDES,N_E_NPDES,RAW_D_INDEX,S_D_INDEX_PER,R_D_INDEX_PER,N_D_INDEX_PER,S_D_INDEX,R_D_INDEX,N_D_INDEX,RAW_D_MINOR,S_D_MINOR_PER,R_D_MINOR_PER,N_D_MINOR_PER,S_D_MINOR,R_D_MINOR,N_D_MINOR,RAW_D_INCOME,S_D_INCOME_PER,R_D_INCOME_PER,N_D_INCOME_PER,S_D_INCOME,R_D_INCOME,N_D_INCOME,RAW_D_LING,S_D_LING_PER,R_D_LING_PER,N_D_LING_PER,S_D_LING,R_D_LING,N_D_LING,RAW_D_LESSHS,S_D_LESSHS_PER,R_D_LESSHS_PER,N_D_LESSHS_PER,S_D_LESSHS,R_D_LESSHS,N_D_LESSHS,RAW_D_UNDER5,S_D_UNDER5_PER,R_D_UNDER5_PER,N_D_UNDER5_PER,S_D_UNDER5,R_D_UNDER5,N_D_UNDER5,RAW_D_OVER64,S_D_OVER64_PER,R_D_OVER64_PER,N_D_OVER64_PER,S_D_OVER64,R_D_OVER64,N_D_OVER64
222,222,42.266389,-94.534167,424.8361045,NA,Iowa,IA,7,9.2,10,21,43,9.67,9.75,9.32,49,38,16,53,49.5,53,47.4,0.255,10,11,11,0.585,0.779,0.937,20,4,2,2,30,38,40, NA,NA,NA,NA,0,0,0,0.52,2,2,2,1.1,1.5,1.8,140,42,64,56,1400,490,590,0.7,82,86,87,0.44,0.36,0.3,0,21,21,16,0.1,0.097,0.13,1.2,76,84,90,0.79,0.59,0.43,0,92,51,26,0.0034,0.045,0.072,0.11,53,40,34,0.2,0.22,0.31,22,64,51,34,21,26,36,9,59,45,22,12,18,37,34,64,56,54,30,33,35,0,65,65,44,2,2,5,11,71,61,50,9,11,14,8,69,67,68,6,7,6,11,28,33,41,15,14,14
223,223,42.324165,-94.175278,28.86697248,NA,Iowa,IA,7,9.28,16,25,45,9.67,9.75,9.32,48.8,33,14,52,49.5,53,47.4,0.263,12,13,12,0.585,0.779,0.937,20,5,2,3,30,38,40, NA,NA,NA,NA,0,0,0,0.57,8,3,2,1.1,1.5,1.8,29,28,38,32,1400,490,590,0.73,85,87,88,0.44,0.36,0.3,0,21,21,16,0.1,0.097,0.13,1.4,82,88,93,0.79,0.59,0.43,0,92,51,26,0.0034,0.045,0.072,0.034,12,9,4,0.2,0.22,0.31,14,35,27,17,21,26,36,0,6,3,2,12,18,37,28,51,45,44,30,33,35,0,65,65,44,2,2,5,6,45,39,32,9,11,14,5,41,40,43,6,7,6,13,39,44,51,15,14,14
224,224,41.73182,-94.218299,9.439178515,NA,Iowa,IA,7,9.17,7,19,43,9.67,9.75,9.32,48.7,27,12,51,49.5,53,47.4,0.283,18,17,14,0.585,0.779,0.937,23,18,7,5,30,38,40, NA,NA,NA,NA,0,0,0,0.66,20,7,4,1.1,1.5,1.8,11,18,22,18,1400,490,590,0.53,60,71,77,0.44,0.36,0.3,0.019,26,24,18,0.1,0.097,0.13,0.58,57,67,78,0.79,0.59,0.43,0,92,51,26,0.0034,0.045,0.072,0.19,71,65,60,0.2,0.22,0.31,17,47,37,24,21,26,36,10,61,48,24,12,18,37,25,42,38,38,30,33,35,3,83,83,63,2,2,5,7,50,43,35,9,11,14,5,37,37,40,6,7,6,18,67,71,76,15,14,14
225,225,42.379167,-94.433611,197.6294537,NA,Iowa,IA,7,9.2,10,21,43,9.67,9.75,9.32,49,38,16,53,49.5,53,47.4,0.255,10,11,11,0.585,0.779,0.937,20,4,2,2,30,38,40, NA,NA,NA,NA,0,0,0,0.52,2,2,2,1.1,1.5,1.8,140,42,64,56,1400,490,590,0.7,82,86,87,0.44,0.36,0.3,0,21,21,16,0.1,0.097,0.13,1.2,76,84,90,0.79,0.59,0.43,0,92,51,26,0.0034,0.045,0.072,0.11,53,40,34,0.2,0.22,0.31,22,64,51,34,21,26,36,9,59,45,22,12,18,37,34,64,56,54,30,33,35,0,65,65,44,2,2,5,11,71,61,50,9,11,14,8,69,67,68,6,7,6,11,28,33,41,15,14,14
226,226,42.794444,-86.126389,5930.329317,NA,Michigan,MI,5,9.6,26,13,53,9.76,10.6,9.32,54.4,99,90,85,50.3,50.3,47.4,0.889,66,53,59,0.726,0.931,0.937,33,58,48,27,31,34,40, NA,NA,NA,NA,0,0,0,1.4,55,45,36,1.3,1.7,1.8,350,63,76,72,570,370,590,0.53,70,68,77,0.39,0.39,0.3,0.17,82,84,82,0.14,0.12,0.13,1.8,97,94,95,0.32,0.51,0.43,0,32,24,26,0.069,0.069,0.072,1.3,97,96,96,0.25,0.31,0.31,34,71,72,56,30,29,36,38,79,78,59,24,24,37,31,47,52,48,35,33,35,7,92,88,76,2,2,5,17,81,79,69,11,11,14,8,78,75,72,6,6,6,14,52,56,59,15,14,14
227,227,37.625,-100.9375,9.101963746,NA,Kansas,KS,7,7.72,6,3,17,9.21,9.75,9.32,55.3,23,63,88,55.6,53,47.4,0.138,2,0,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,1.2,20,33,22,1.6,1.5,1.8,5.6,21,13,11,140,490,590,0.31,49,52,62,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,0.3,50,54,66,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.022,8,3,2,0.24,0.22,0.31,33,70,75,54,28,26,36,19,58,69,39,23,18,37,46,74,75,71,33,33,35,6,88,91,76,2,2,5,42,97,98,95,10,11,14,11,84,88,88,7,7,6,10,32,28,35,14,14,14
228,228,48.845333,-95.78675,690.1878869,NA,Minnesota,MN,5,7.66,3,1,16,9.95,10.6,9.32,38.3,5,0,12,44.2,50.3,47.4,0.107,3,1,2,0.753,0.931,0.937,18,5,1,1,36,34,40, NA,NA,NA,NA,0,0,0,0.71,13,6,5,2.2,1.7,1.8,160,70,63,59,350,370,590,0.21,45,36,51,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,0.68,73,77,81,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0,1,0,1,0.21,0.31,0.31,25,70,58,41,22,29,36,8,39,36,20,18,24,37,43,81,70,66,27,33,35,1,60,60,46,2,2,5,9,67,51,44,8,11,14,4,19,26,25,6,6,6,17,73,71,73,14,14,14
229,229,37.5,-100.875,19.41050757,NA,Kansas,KS,7,7.72,6,3,17,9.21,9.75,9.32,55.3,23,63,88,55.6,53,47.4,0.138,2,0,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,1.2,20,33,22,1.6,1.5,1.8,56,63,49,42,140,490,590,0.35,53,56,65,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,2.2,96,95,97,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0,5,1,1,0.24,0.22,0.31,24,55,59,40,28,26,36,30,74,81,52,23,18,37,19,28,25,27,33,33,35,8,90,93,80,2,2,5,25,90,91,82,10,11,14,5,30,33,36,7,7,6,13,50,46,53,14,14,14
230,230,37.6875,-100.75,6.067975831,NA,Kansas,KS,7,7.72,6,3,17,9.21,9.75,9.32,55.3,23,63,88,55.6,53,47.4,0.138,2,0,3,0.639,0.779,0.937,25,4,11,8,39,38,40, NA,NA,NA,NA,0,0,0,1.2,20,33,22,1.6,1.5,1.8,5.6,21,13,11,140,490,590,0.31,49,52,62,0.37,0.36,0.3,0,24,21,16,0.078,0.097,0.13,0.3,50,54,66,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.022,8,3,2,0.24,0.22,0.31,33,70,75,54,28,26,36,19,58,69,39,23,18,37,46,74,75,71,33,33,35,6,88,91,76,2,2,5,42,97,98,95,10,11,14,11,84,88,88,7,7,6,10,32,28,35,14,14,14
231,231,37.3125,-100.8125,NA,NA,NA,NA,NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA,  NA,NA,NA,NA,  NA,  NA,  NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA, NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA
232,232,37.903611,-84.372222,648.0313554,NA,Kentucky,KY,4,9.91,38,68,60,10.1,8.9,9.32,51.5,26,91,72,52.2,42.4,47.4,0.495,48,37,32,0.667,0.752,0.937,34,31,18,31,39,42,40, NA,NA,NA,NA,0,0,0,1.2,34,16,22,1.6,1.7,1.8,300,83,78,69,230,290,590,0.099,30,53,36,0.25,0.16,0.3,0,38,30,16,0.034,0.077,0.13,0.3,66,74,66,0.37,0.32,0.43,0.042,68,67,52,0.038,0.044,0.072,0.33,81,85,77,0.24,0.2,0.31,10,8,4,7,27,38,36,7,49,16,19,14,37,37,12,8,8,15,40,39,35,0,73,51,44,1,3,5,8,26,33,41,17,15,14,8,75,75,73,6,6,6,12,39,43,46,14,15,14
233,233,38.012778,-84.463889,11299.52105,NA,Kentucky,KY,4,10.3,61,81,71,10.1,8.9,9.32,52.4,38,93,77,52.2,42.4,47.4,1.04,81,76,68,0.667,0.752,0.937,48,87,76,79,39,42,40, NA,NA,NA,NA,0,0,0,2,77,76,68,1.6,1.7,1.8,760,93,91,84,230,290,590,0.14,42,63,43,0.25,0.16,0.3,0,38,30,16,0.034,0.077,0.13,1.1,91,93,89,0.37,0.32,0.43,0.024,50,45,33,0.038,0.044,0.072,0.13,43,52,42,0.24,0.2,0.31,42,86,62,65,27,38,36,38,90,58,59,14,37,37,45,60,62,70,40,39,35,2,85,67,59,1,3,5,20,65,71,75,17,15,14,6,45,48,46,6,6,6,9,25,30,34,14,15,14
234,234,34.66595,-98.94652,1116.85282,NA,Oklahoma,OK,6,7.65,3,10,16,9.37,9.45,9.32,54.4,11,83,84,55.8,47,47.4,0.139,1,2,3,0.526,0.72,0.937,33,3,11,27,45,42,40, NA,NA,NA,NA,0,0,0,0.87,0,7,10,1.9,1.8,1.8,37,54,35,35,83,320,590,0.5,82,88,75,0.25,0.18,0.3,0,27,26,16,0.044,0.072,0.13,0.93,89,82,87,0.38,0.55,0.43,0,24,29,26,0.066,0.075,0.072,0.034,6,4,4,0.22,0.41,0.31,44,73,54,68,35,45,36,29,53,32,51,32,50,37,59,83,78,84,39,39,35,2,68,44,53,2,6,5,19,77,62,74,13,17,14,4,22,24,31,7,7,6,16,65,74,67,14,12,14
235,235,36.196389,-97.888611,63.33870968,NA,Oklahoma,OK,6,8.83,15,25,36,9.37,9.45,9.32,57.3,96,99,94,55.8,47,47.4,0.215,17,9,8,0.526,0.72,0.937,35,6,15,32,45,42,40, NA,NA,NA,NA,0,0,0,1.3,9,21,28,1.9,1.8,1.8,3.6,15,9,9,83,320,590,0.29,68,77,59,0.25,0.18,0.3,0,27,26,16,0.044,0.072,0.13,0.48,78,67,75,0.38,0.55,0.43,0,24,29,26,0.066,0.075,0.072,0.063,18,15,14,0.22,0.41,0.31,18,14,13,27,35,45,36,5,0,3,12,32,50,37,32,39,41,51,39,39,35,0,53,35,44,2,6,5,13,55,46,58,13,17,14,5,31,32,40,7,7,6,22,87,89,86,14,12,14
236,236,40.130819,-74.845344,8652.981751,NA,Pennsylvania,PA,3,9.76,19,42,56,10.5,9.84,9.32,50.4,71,54,64,49.1,49.8,47.4,1.08,69,68,69,0.927,0.918,0.937,44,60,58,64,41,42,40, NA,NA,NA,NA,0,0,0,2,68,64,67,1.8,1.8,1.8,130,62,58,56,250,350,590,0.63,66,77,83,0.49,0.37,0.3,0.17,72,78,81,0.18,0.15,0.13,2.5,98,99,98,0.45,0.35,0.43,0.18,79,84,91,0.12,0.11,0.072,1.5,92,95,96,0.51,0.37,0.31,31,74,64,52,26,30,36,30,77,61,51,21,31,37,33,62,63,52,31,29,35,3,77,75,61,2,2,5,8,44,43,40,11,12,14,7,66,61,56,6,6,6,14,41,50,58,16,15,14
237,237,37.96975,-98.0945,306.7821123,NA,Kansas,KS,7,8.77,20,8,35,9.21,9.75,9.32,56,66,81,90,55.6,53,47.4,0.208,9,4,7,0.639,0.779,0.937,30,14,22,17,39,38,40, NA,NA,NA,NA,0,0,0,1.2,21,34,23,1.6,1.5,1.8,24,47,35,29,140,490,590,0.56,72,74,79,0.37,0.36,0.3,0.048,47,47,42,0.078,0.097,0.13,0.87,74,77,86,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.064,22,22,14,0.24,0.22,0.31,23,50,55,36,28,26,36,7,24,38,19,23,18,37,38,63,63,60,33,33,35,0,58,65,44,2,2,5,24,90,91,81,10,11,14,3,16,18,22,7,7,6,15,59,55,61,14,14,14
238,238,38.058028,-98.088083,23.40944882,NA,Kansas,KS,7,8.49,13,5,30,9.21,9.75,9.32,55.5,32,69,88,55.6,53,47.4,0.197,7,3,6,0.639,0.779,0.937,27,10,17,12,39,38,40, NA,NA,NA,NA,0,0,0,0.79,6,13,8,1.6,1.5,1.8,27,50,37,31,140,490,590,0.58,74,76,80,0.37,0.36,0.3,0.041,45,44,36,0.078,0.097,0.13,1.4,88,88,93,0.61,0.59,0.43,0,37,51,26,0.064,0.045,0.072,0.042,16,12,6,0.24,0.22,0.31,31,66,71,51,28,26,36,7,23,37,18,23,18,37,55,84,84,80,33,33,35,0,58,65,44,2,2,5,17,82,81,70,10,11,14,10,81,85,85,7,7,6,10,32,28,35,14,14,14
239,239,36.352778,-97.704167,166.4814815,NA,Oklahoma,OK,6,8.85,16,25,36,9.37,9.45,9.32,57.3,96,99,94,55.8,47,47.4,0.225,19,10,9,0.526,0.72,0.937,35,5,15,32,45,42,40, NA,NA,NA,NA,0,0,0,1.3,9,21,28,1.9,1.8,1.8,1.7,10,6,6,83,320,590,0.39,75,83,68,0.25,0.18,0.3,0,27,26,16,0.044,0.072,0.13,0.89,88,81,86,0.38,0.55,0.43,0,24,29,26,0.066,0.075,0.072,0.39,86,74,80,0.22,0.41,0.31,15,7,8,19,35,45,36,9,4,7,22,32,50,37,21,20,24,32,39,39,35,0,53,35,44,2,6,5,10,42,37,48,13,17,14,3,11,13,18,7,7,6,22,87,89,85,14,12,14
240,240,48.934056,-95.918611,6.544933078,NA,Minnesota,MN,5,7.64,3,1,16,9.95,10.6,9.32,38.4,5,0,12,44.2,50.3,47.4,0.0831,1,0,1,0.753,0.931,0.937,16,0,0,0,36,34,40, NA,NA,NA,NA,0,0,0,0.44,0,0,1,2.2,1.7,1.8,6.4,15,14,12,350,370,590,0.28,54,44,58,0.33,0.39,0.3,0,18,9,16,0.18,0.12,0.13,0.14,30,31,40,0.5,0.51,0.43,0,32,24,26,0.11,0.069,0.072,0,1,0,1,0.21,0.31,0.31,10,20,14,8,22,29,36,2,13,13,6,18,24,37,18,37,28,26,27,33,35,0,56,58,44,2,2,5,6,51,37,32,8,11,14,6,42,47,45,6,6,6,13,55,52,55,14,14,14
241,241,40.940278,-98.304722,447.4423331,NA,Nebraska,NE,7,8.55,21,5,31,9.27,9.75,9.32,49.8,66,22,59,49.2,53,47.4,1.65,95,91,88,0.759,0.779,0.937,27,36,16,11,31,38,40, NA,NA,NA,NA,0,0,0,1.5,77,58,42,1.2,1.5,1.8,49,54,47,40,140,490,590,0.4,53,60,69,0.38,0.36,0.3,0.43,92,96,94,0.13,0.097,0.13,2,88,93,96,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.9,96,97,92,0.21,0.22,0.31,47,86,87,71,25,26,36,38,85,86,59,19,18,37,56,85,85,82,32,33,35,5,83,90,73,3,2,5,16,83,79,67,9,11,14,5,35,38,41,7,7,6,14,55,51,58,14,14,14
242,242,40.523889,-97.606111,2060.621622,NA,Nebraska,NE,7,8.74,28,7,34,9.27,9.75,9.32,49.1,58,17,54,49.2,53,47.4,0.285,16,17,14,0.759,0.779,0.937,23,20,7,5,31,38,40, NA,NA,NA,NA,0,0,0,0.71,18,9,5,1.2,1.5,1.8,7.2,15,16,13,140,490,590,0.45,57,65,72,0.38,0.36,0.3,0.027,43,33,25,0.13,0.097,0.13,1.7,84,92,95,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.027,8,5,2,0.21,0.22,0.31,19,49,44,28,25,26,36,6,29,31,15,19,18,37,33,58,53,51,32,33,35,0,57,65,44,3,2,5,8,56,47,39,9,11,14,7,53,57,58,7,7,6,24,86,87,89,14,14,14
243,243,27.992806,-82.250667,1003.351327,NA,Florida,FL,4,7.43,74,23,13,7.05,8.9,9.32,37.1,94,31,11,33.3,42.4,47.4,0.817,49,61,54,0.883,0.752,0.937,44,82,56,64,37,42,40, NA,NA,NA,NA,0,0,0,2,77,75,67,1.7,1.7,1.8,55,38,51,42,450,290,590,0.029,46,30,20,0.12,0.16,0.3,0.27,90,94,90,0.13,0.077,0.13,0.62,85,86,80,0.32,0.32,0.43,0.085,81,87,76,0.061,0.044,0.072,0.22,79,75,65,0.18,0.2,0.31,35,47,52,57,41,38,36,44,56,64,64,43,37,37,26,32,29,41,38,39,35,6,66,82,75,7,3,5,27,87,86,85,14,15,14,6,59,53,51,6,6,6,13,44,48,52,18,15,14
244,244,40.683056,-97.996389,21.12873862,NA,Nebraska,NE,7,8.64,25,6,32,9.27,9.75,9.32,49.3,61,18,55,49.2,53,47.4,0.285,15,17,14,0.759,0.779,0.937,22,17,5,4,31,38,40, NA,NA,NA,NA,0,0,0,0.66,16,7,4,1.2,1.5,1.8,0.53,2,3,4,140,490,590,0.78,90,90,91,0.38,0.36,0.3,0.034,46,39,30,0.13,0.097,0.13,0.86,64,77,85,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.045,17,14,7,0.21,0.22,0.31,28,68,66,46,25,26,36,23,72,73,43,19,18,37,33,59,55,53,32,33,35,6,85,91,75,3,2,5,15,81,76,64,9,11,14,4,26,28,32,7,7,6,19,75,76,79,14,14,14
245,245,40.771389,-98.368889,1024.111111,NA,Nebraska,NE,7,8.56,22,5,31,9.27,9.75,9.32,49.9,69,22,60,49.2,53,47.4,0.422,29,34,26,0.759,0.779,0.937,23,20,7,5,31,38,40, NA,NA,NA,NA,0,0,0,0.99,36,22,14,1.2,1.5,1.8,28,42,38,31,140,490,590,0.33,48,53,63,0.38,0.36,0.3,0.085,75,65,61,0.13,0.097,0.13,3.9,98,99,99,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.066,31,23,15,0.21,0.22,0.31,14,27,24,15,25,26,36,5,25,27,13,19,18,37,22,34,32,33,32,33,35,0,57,65,44,3,2,5,7,50,43,35,9,11,14,8,68,72,73,7,7,6,12,45,40,47,14,14,14
246,246,40.318806,-89.166194,765.0054407,NA,Illinois,IL,5,10.3,16,35,73,11.2,10.6,9.32,52.9,85,82,80,50.8,50.3,47.4,0.347,5,14,19,1.28,0.931,0.937,26,4,15,10,36,34,40, NA,NA,NA,NA,0,0,0,0.74,5,7,6,1.8,1.7,1.8,65,42,48,44,500,370,590,0.51,58,67,76,0.42,0.39,0.3,0,7,9,16,0.095,0.12,0.13,1.2,83,88,91,0.69,0.51,0.43,0,19,24,26,0.059,0.069,0.072,0.053,3,7,10,0.38,0.31,0.31,7,5,6,3,35,29,36,1,3,6,3,37,24,37,14,23,19,18,32,33,35,0,44,58,44,5,2,5,11,56,60,51,12,11,14,5,44,46,45,6,6,6,18,77,74,76,13,14,14
247,247,40.52,-98.059167,802.6096386,NA,Nebraska,NE,7,8.56,22,5,31,9.27,9.75,9.32,49.5,64,20,57,49.2,53,47.4,0.352,22,27,20,0.759,0.779,0.937,22,18,6,4,31,38,40, NA,NA,NA,NA,0,0,0,0.65,16,6,4,1.2,1.5,1.8,21,35,32,27,140,490,590,0.59,72,76,81,0.38,0.36,0.3,0.035,47,40,31,0.13,0.097,0.13,1.6,80,90,94,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.043,16,13,6,0.21,0.22,0.31,21,54,49,32,25,26,36,13,57,58,30,19,18,37,28,49,44,44,32,33,35,5,82,89,71,3,2,5,6,46,38,31,9,11,14,6,40,44,46,7,7,6,18,72,72,77,14,14,14
248,248,40.144028,-89.190111,185.2758621,NA,Illinois,IL,5,10.3,10,31,71,11.2,10.6,9.32,52.7,85,80,79,50.8,50.3,47.4,0.353,6,14,20,1.28,0.931,0.937,27,7,18,11,36,34,40, NA,NA,NA,NA,0,0,0,0.7,3,5,5,1.8,1.7,1.8,40,36,40,37,500,370,590,0.58,64,72,80,0.42,0.39,0.3,0,7,9,16,0.095,0.12,0.13,1.4,85,90,92,0.69,0.51,0.43,0,19,24,26,0.059,0.069,0.072,0.062,5,10,14,0.38,0.31,0.31,31,57,68,52,35,29,36,2,7,13,6,37,24,37,60,87,87,85,32,33,35,0,44,58,44,5,2,5,13,63,68,58,12,11,14,8,69,70,68,6,6,6,8,28,22,26,13,14,14
249,249,41.195833,-97.870278,9.709425314,NA,Nebraska,NE,7,8.57,23,5,31,9.27,9.75,9.32,49.4,64,19,57,49.2,53,47.4,0.34,21,25,19,0.759,0.779,0.937,21,13,3,3,31,38,40, NA,NA,NA,NA,0,0,0,0.68,17,8,5,1.2,1.5,1.8,9.5,19,20,16,140,490,590,0.59,72,76,81,0.38,0.36,0.3,0.027,42,33,24,0.13,0.097,0.13,0.42,47,61,73,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.028,9,6,3,0.21,0.22,0.31,18,45,41,26,25,26,36,3,16,19,9,19,18,37,33,59,55,53,32,33,35,0,58,65,44,3,2,5,8,59,49,41,9,11,14,5,37,41,44,7,7,6,16,65,62,68,14,14,14
250,250,40.841389,-98.531944,28.41319413,NA,Nebraska,NE,7,8.39,18,5,28,9.27,9.75,9.32,50.1,72,25,61,49.2,53,47.4,0.425,29,34,26,0.759,0.779,0.937,22,16,4,4,31,38,40, NA,NA,NA,NA,0,0,0,3.1,99,98,91,1.2,1.5,1.8,30,44,39,33,140,490,590,0.43,55,63,71,0.38,0.36,0.3,0.069,68,57,54,0.13,0.097,0.13,2,88,94,96,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.049,20,16,9,0.21,0.22,0.31,19,49,44,29,25,26,36,17,63,65,36,19,18,37,22,33,31,33,32,33,35,2,74,79,59,3,2,5,13,77,70,58,9,11,14,8,65,69,69,7,7,6,19,73,73,77,14,14,14
251,251,41.001667,-98.538611,17.22230769,NA,Nebraska,NE,7,8.33,18,4,27,9.27,9.75,9.32,50,70,24,60,49.2,53,47.4,0.346,22,26,19,0.759,0.779,0.937,21,13,3,3,31,38,40, NA,NA,NA,NA,0,0,0,0.71,18,10,6,1.2,1.5,1.8,54,57,48,41,140,490,590,0.41,54,60,69,0.38,0.36,0.3,0.077,72,61,58,0.13,0.097,0.13,1.1,69,82,89,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.038,14,11,5,0.21,0.22,0.31,21,53,48,31,25,26,36,11,50,51,25,19,18,37,30,53,48,47,32,33,35,0,57,65,44,3,2,5,8,60,50,41,9,11,14,6,46,49,51,7,7,6,17,67,65,70,14,14,14
252,252,40.858611,-98.008611,3470.457673,NA,Nebraska,NE,7,8.67,26,7,33,9.27,9.75,9.32,49.3,62,18,55,49.2,53,47.4,0.799,59,61,53,0.759,0.779,0.937,24,27,10,7,31,38,40, NA,NA,NA,NA,0,0,0,6.1,100,99,99,1.2,1.5,1.8,55,57,49,42,140,490,590,0.49,61,68,75,0.38,0.36,0.3,0.034,46,39,30,0.13,0.097,0.13,1.6,81,90,94,0.88,0.59,0.43,0,99,51,26,0.00011,0.045,0.072,0.46,90,89,82,0.21,0.22,0.31,19,49,44,29,25,26,36,5,24,26,12,19,18,37,34,61,56,54,32,33,35,0,59,66,45,3,2,5,7,49,41,34,9,11,14,6,40,44,47,7,7,6,19,74,74,78,14,14,14
253,253,41.696047,-85.690628,431.7456504,NA,Indiana,IN,5,10.8,29,54,83,11,10.6,9.32,49.9,21,37,60,51.2,50.3,47.4,0.403,16,20,24,0.835,0.931,0.937,26,5,13,9,34,34,40, NA,NA,NA,NA,0,0,0,0.88,17,15,11,1.4,1.7,1.8,6,14,13,12,250,370,590,0.19,37,33,49,0.36,0.39,0.3,0.052,38,45,44,0.16,0.12,0.13,0.45,67,68,74,0.52,0.51,0.43,0,31,24,26,0.044,0.069,0.072,0.53,83,84,85,0.34,0.31,0.31,25,57,57,41,27,29,36,16,62,56,35,19,24,37,33,51,57,53,35,33,35,2,78,75,60,2,2,5,25,88,90,82,12,11,14,10,82,85,83,6,6,6,9,28,28,33,14,14,14
254,254,41.991583,-83.320694,680.5479187,NA,Michigan,MI,5,10.2,65,29,69,9.76,10.6,9.32,52.2,86,76,76,50.3,50.3,47.4,0.596,45,35,39,0.726,0.931,0.937,27,31,19,11,31,34,40, NA,NA,NA,NA,0,0,0,1.1,35,27,19,1.3,1.7,1.8,150,52,62,58,570,370,590,0.087,16,18,33,0.39,0.39,0.3,0.065,54,54,52,0.14,0.12,0.13,0.43,79,66,73,0.32,0.51,0.43,0.034,50,47,45,0.069,0.069,0.072,0.19,68,57,60,0.25,0.31,0.31,15,24,28,18,30,29,36,9,39,39,22,24,24,37,20,29,32,30,35,33,35,2,74,69,54,2,2,5,5,30,32,28,11,11,14,7,68,64,62,6,6,6,10,30,34,38,15,14,14
