OBJECTID,id,name,lat,lon,_ACSTOTPOP,_ACSIPOVBAS,_ACSTOTHH,_ACSEDUCBAS,_PRE1960,_buff,_stabbr,_statename,_region,_S_P_PM25,_R_P_PM25,_N_P_PM25,_S_P_O3,_R_P_O3,_N_P_O3,_S_P_DIESEL,_R_P_DIESEL,_N_P_DIESEL,_S_P_CANCER,_R_P_CANCER,_N_P_CANCER,_S_P_RESP,_R_P_RESP,_N_P_RESP,_S_P_TRAFFIC,_R_P_TRAFFIC,_N_P_TRAFFIC,_S_P_LEAD,_R_P_LEAD,_N_P_LEAD,_S_P_NPL,_R_P_NPL,_N_P_NPL,_S_P_RMP,_R_P_RMP,_N_P_RMP,_S_P_TSDF,_R_P_TSDF,_N_P_TSDF,_S_P_NPDES,_R_P_NPDES,_N_P_NPDES,_RAW_E_PM25,_S_E_PM25_PER,_R_E_PM25_PER,_N_E_PM25_PER,_S_E_PM25,_R_E_PM25,_N_E_PM25,_RAW_E_O3,_S_E_O3_PER,_R_E_O3_PER,_N_E_O3_PER,_S_E_O3,_R_E_O3,_N_E_O3,_RAW_E_DIESEL,_S_E_DIESEL_PER,_R_E_DIESEL_PER,_N_E_DIESEL_PER,_S_E_DIESEL,_R_E_DIESEL,_N_E_DIESEL,_RAW_E_CANCER,_S_E_CANCER_PER,_R_E_CANCER_PER,_N_E_CANCER_PER,_S_E_CANCER,_R_E_CANCER,_N_E_CANCER,_RAW_E_RESP,_S_E_RESP_PER,_R_E_RESP_PER,_N_E_RESP_PER,_S_E_RESP,_R_E_RESP,_N_E_RESP,_RAW_E_TRAFFIC,_S_E_TRAFFIC_PER,_R_E_TRAFFIC_PER,_N_E_TRAFFIC_PER,_S_E_TRAFFIC,_R_E_TRAFFIC,_N_E_TRAFFIC,_RAW_E_LEAD,_S_E_LEAD_PER,_R_E_LEAD_PER,_N_E_LEAD_PER,_S_E_LEAD,_R_E_LEAD,_N_E_LEAD,_RAW_E_NPL,_S_E_NPL_PER,_R_E_NPL_PER,_N_E_NPL_PER,_S_E_NPL,_R_E_NPL,_N_E_NPL,_RAW_E_RMP,_S_E_RMP_PER,_R_E_RMP_PER,_N_E_RMP_PER,_S_E_RMP,_R_E_RMP,_N_E_RMP,_RAW_E_TSDF,_S_E_TSDF_PER,_R_E_TSDF_PER,_N_E_TSDF_PER,_S_E_TSDF,_R_E_TSDF,_N_E_TSDF,_RAW_E_NPDES,_S_E_NPDES_PER,_R_E_NPDES_PER,_N_E_NPDES_PER,_S_E_NPDES,_R_E_NPDES,_N_E_NPDES,_RAW_D_INDEX,_S_D_INDEX_PER,_R_D_INDEX_PER,_N_D_INDEX_PER,_S_D_INDEX,_R_D_INDEX,_N_D_INDEX,_RAW_D_MINOR,_S_D_MINOR_PER,_R_D_MINOR_PER,_N_D_MINOR_PER,_S_D_MINOR,_R_D_MINOR,_N_D_MINOR,_RAW_D_INCOME,_S_D_INCOME_PER,_R_D_INCOME_PER,_N_D_INCOME_PER,_S_D_INCOME,_R_D_INCOME,_N_D_INCOME,_RAW_D_LING,_S_D_LING_PER,_R_D_LING_PER,_N_D_LING_PER,_S_D_LING,_R_D_LING,_N_D_LING,_RAW_D_LESSHS,_S_D_LESSHS_PER,_R_D_LESSHS_PER,_N_D_LESSHS_PER,_S_D_LESSHS,_R_D_LESSHS,_N_D_LESSHS,_RAW_D_UNDER5,_S_D_UNDER5_PER,_R_D_UNDER5_PER,_N_D_UNDER5_PER,_S_D_UNDER5,_R_D_UNDER5,_N_D_UNDER5,_RAW_D_OVER64,_S_D_OVER64_PER,_R_D_OVER64_PER,_N_D_OVER64_PER,_S_D_OVER64,_R_D_OVER64,_N_D_OVER64
1,TX5161927,Facility TX5161927,30.74415926,-95.086669,540,539,203,392,40,1 miles,TX,Texas,6,70,77,85,66,72,81,67,74,80,79,84,90,73,78,85,75,80,81,81,82,82,99,99,99,65,72,82,61,67,72,93,94,95,9.11,80,79,73,8.43,8.37,8.3,34.4,18,13,9,38.4,39.4,43,0.365,41,<50th,<50th,0.429,0.401,0.479,52,96,90-95th,95-100th,35,36,32,0.5,84,70-80th,60-70th,0.43,0.45,0.44,360,69,72,61,470,400,750,0.17,71,68,48,0.15,0.17,0.28,1.1,99,99,98,0.085,0.081,0.13,0.54,53,58,62,0.91,0.82,0.74,0.25,45,49,40,0.83,0.75,4,0.077,91,91,89,0.19,9.8,14,60%,67,71,81,47%,44%,36%,78%,68,74,83,57%,51%,39%,41%,60,58,67,36%,37%,33%,6%,58,68,75,8%,6%,4%,34%,82,86,92,17%,16%,13%,5%,31,33,41,7%,7%,6%,15%,73,68,59,12%,13%,15%
2,TX9995009,Facility TX9995009,29.07767171,-95.43117936,1789,1787,666,1285,133,1 miles,TX,Texas,6,72,78,86,68,74,82,69,75,81,81,86,91,75,79,86,74,79,81,82,83,83,99,99,99,65,72,81,62,68,73,93,94,95,9.11,80,79,73,8.43,8.37,8.3,34.4,18,13,9,38.4,39.4,43,0.368,41,<50th,<50th,0.429,0.401,0.479,52,96,90-95th,95-100th,35,36,32,0.5,85,70-80th,60-70th,0.43,0.45,0.44,330,67,70,59,470,400,750,0.17,72,68,49,0.15,0.17,0.28,1.1,99,99,98,0.085,0.081,0.13,0.49,50,55,59,0.91,0.82,0.74,0.24,44,48,39,0.83,0.75,4,0.07,90,90,88,0.19,9.8,14,62%,70,74,83,47%,44%,36%,81%,70,76,84,57%,51%,39%,43%,63,62,70,36%,37%,33%,6%,56,66,74,8%,6%,4%,33%,81,85,91,17%,16%,13%,5%,27,29,37,7%,7%,6%,15%,72,67,58,12%,13%,15%
3,TX6334661,Facility TX6334661,30.74415926,-94.16644383,1575,1552,487,919,171,1 miles,TX,Texas,6,39,43,59,38,43,59,39,44,59,41,46,61,39,43,59,42,48,61,64,65,71,51,57,67,48,55,68,50,57,67,10,11,16,9.25,81,81,76,8.43,8.37,8.3,34.2,17,12,9,38.4,39.4,43,0.735,91,90-95th,80-90th,0.429,0.401,0.479,71,98,95-100th,95-100th,35,36,32,0.66,98,95-100th,90-95th,0.43,0.45,0.44,130,42,46,39,470,400,750,0.32,82,81,64,0.15,0.17,0.28,1.1,99,99,98,0.085,0.081,0.13,1.9,87,88,90,0.91,0.82,0.74,0.82,69,72,60,0.83,0.75,4,0.053,89,89,87,0.19,9.8,14,38%,41,46,61,47%,44%,36%,37%,30,38,57,57%,51%,39%,39%,58,56,65,36%,37%,33%,1%,28,39,47,8%,6%,4%,8%,33,32,42,17%,16%,13%,14%,95,95,96,7%,7%,6%,14%,67,61,51,12%,13%,15%
4,TX8066637,Facility TX8066637,33.78333724,-94.65339359,2959,2903,1064,1785,538,1 miles,TX,Texas,6,64,70,80,62,68,78,62,69,77,66,72,82,68,73,82,70,76,78,85,87,86,99,99,99,65,72,81,52,59,68,84,86,91,9.04,79,78,72,8.43,8.37,8.3,38.5,55,47,23,38.4,39.4,43,0.392,45,50-60th,50-60th,0.429,0.401,0.479,40,86,80-90th,80-90th,35,36,32,0.55,94,80-90th,70-80th,0.43,0.45,0.44,340,67,71,59,470,400,750,0.39,85,85,69,0.15,0.17,0.28,1.4,99,99,99,0.085,0.081,0.13,0.68,59,63,67,0.91,0.82,0.74,0.14,27,32,26,0.83,0.75,4,0.013,80,81,81,0.19,9.8,14,82%,92,93,96,47%,44%,36%,82%,72,77,85,57%,51%,39%,81%,97,97,98,36%,37%,33%,1%,32,42,51,8%,6%,4%,24%,71,75,84,17%,16%,13%,13%,92,93,95,7%,7%,6%,11%,52,45,35,12%,13%,15%
5,TX5120111,Facility TX5120111,29.42883261,-94.56150511,4374,4374,1276,2734,9,1 miles,TX,Texas,6,72,78,86,67,73,81,77,82,86,77,82,89,74,79,85,77,82,82,53,54,63,79,83,86,65,72,82,67,72,75,93,93,95,9.18,80,80,75,8.43,8.37,8.3,33.3,11,8,7,38.4,39.4,43,0.529,69,70-80th,60-70th,0.429,0.401,0.479,43,91,80-90th,90-95th,35,36,32,0.48,74,60-70th,60-70th,0.43,0.45,0.44,230,57,62,51,470,400,750,0.0072,28,22,11,0.15,0.17,0.28,0.098,76,78,65,0.085,0.081,0.13,0.69,60,64,67,0.91,0.82,0.74,0.26,45,49,41,0.83,0.75,4,0.2,94,93,91,0.19,9.8,14,48%,53,58,71,47%,44%,36%,72%,62,69,79,57%,51%,39%,24%,35,31,40,36%,37%,33%,7%,61,69,77,8%,6%,4%,15%,54,56,68,17%,16%,13%,7%,53,56,66,7%,7%,6%,15%,71,65,56,12%,13%,15%
6,TX3843769,Facility TX3843769,28.73252696,-94.77031677,2297,2283,1156,2002,61,1 miles,TX,Texas,6,19,20,28,19,20,31,18,18,27,21,23,29,22,24,31,3,3,8,52,53,63,0,0,0,6,6,7,3,2,8,10,11,16,7.5,13,15,27,8.43,8.37,8.3,35.3,23,17,11,38.4,39.4,43,0.318,35,<50th,<50th,0.429,0.401,0.479,26,10,<50th,<50th,35,36,32,0.31,9,<50th,<50th,0.43,0.45,0.44,670,82,85,74,470,400,750,0.04,48,41,24,0.15,0.17,0.28,1.4,99,99,99,0.085,0.081,0.13,1.4,81,82,84,0.91,0.82,0.74,1.7,85,87,74,0.83,0.75,4,0.0017,67,68,69,0.19,9.8,14,21%,15,16,32,47%,44%,36%,21%,13,20,39,57%,51%,39%,20%,29,25,33,36%,37%,33%,1%,32,43,51,8%,6%,4%,7%,29,28,37,17%,16%,13%,3%,14,15,19,7%,7%,6%,27%,95,94,91,12%,13%,15%
7,TX4885472,Facility TX4885472,30.98512108,-102.239656,6625,6625,2177,3768,1045,1 miles,TX,Texas,6,48,54,68,53,59,72,49,56,67,50,56,70,50,56,69,67,73,76,78,80,80,95,96,96,59,66,77,47,54,65,N/A,61,74,6.46,5,6,11,8.43,8.37,8.3,46.7,95,91,79,38.4,39.4,43,0.244,24,<50th,<50th,0.429,0.401,0.479,29,19,<50th,<50th,35,36,32,0.37,24,<50th,<50th,0.43,0.45,0.44,410,72,75,63,470,400,750,0.44,87,87,72,0.15,0.17,0.28,1.2,99,99,98,0.085,0.081,0.13,0.6,56,60,64,0.91,0.82,0.74,0.13,24,29,24,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,49%,55,60,73,47%,44%,36%,67%,58,66,77,57%,51%,39%,31%,45,42,52,36%,37%,33%,8%,64,73,79,8%,6%,4%,31%,79,83,90,17%,16%,13%,7%,53,56,66,7%,7%,6%,9%,42,35,25,12%,13%,15%
8,TX6034663,Facility TX6034663,32.59120077,-98.09828501,14983,14967,4721,8884,3971,1 miles,TX,Texas,6,71,77,86,74,79,85,79,83,87,70,76,85,73,78,85,93,95,93,95,96,95,75,80,83,82,86,91,86,89,86,69,72,82,8.6,56,56,58,8.43,8.37,8.3,42.4,77,71,41,38.4,39.4,43,0.597,77,80-90th,70-80th,0.429,0.401,0.479,34,53,<50th,60-70th,35,36,32,0.47,69,60-70th,60-70th,0.43,0.45,0.44,1300,91,93,85,470,400,750,0.73,96,96,89,0.15,0.17,0.28,0.074,68,70,56,0.085,0.081,0.13,1.7,84,86,87,0.91,0.82,0.74,1.7,85,87,74,0.83,0.75,4,0.000093,50,51,54,0.19,9.8,14,67%,76,79,87,47%,44%,36%,79%,69,75,83,57%,51%,39%,56%,77,77,84,36%,37%,33%,9%,69,76,82,8%,6%,4%,35%,83,87,93,17%,16%,13%,9%,66,68,77,7%,7%,6%,9%,41,34,25,12%,13%,15%
9,TX8091439,Facility TX8091439,31.07167471,-95.62577566,10133,8590,3306,6855,474,1 miles,TX,Texas,6,69,75,84,67,73,81,65,71,78,79,83,90,69,75,83,55,61,69,68,70,74,99,99,99,71,77,85,80,84,83,14,16,22,9.23,81,81,76,8.43,8.37,8.3,38.7,57,50,23,38.4,39.4,43,0.435,52,50-60th,50-60th,0.429,0.401,0.479,52,96,90-95th,95-100th,35,36,32,0.48,76,60-70th,60-70th,0.43,0.45,0.44,440,73,77,65,470,400,750,0.13,67,62,42,0.15,0.17,0.28,1.6,99,99,99,0.085,0.081,0.13,0.58,55,60,63,0.91,0.82,0.74,1.4,81,83,70,0.83,0.75,4,0.00055,60,60,63,0.19,9.8,14,56%,63,68,79,47%,44%,36%,59%,52,60,73,57%,51%,39%,48%,69,68,76,36%,37%,33%,17%,82,87,91,8%,6%,4%,35%,84,87,93,17%,16%,13%,6%,43,46,55,7%,7%,6%,9%,46,38,28,12%,13%,15%
10,TX9187001,Facility TX9187001,28.96259826,-95.53828706,612,612,232,446,22,1 miles,TX,Texas,6,33,36,52,34,38,54,29,30,44,27,30,40,32,36,50,18,17,30,20,26,47,22,23,39,20,21,30,21,21,34,2,2,5,9.23,80,81,75,8.43,8.37,8.3,33.4,12,8,7,38.4,39.4,43,0.599,77,80-90th,70-80th,0.429,0.401,0.479,81,99,95-100th,95-100th,35,36,32,0.51,88,70-80th,70-80th,0.43,0.45,0.44,530,77,81,69,470,400,750,0.086,60,54,35,0.15,0.17,0.28,0.13,82,84,73,0.085,0.081,0.13,1,71,74,77,0.91,0.82,0.74,0.93,72,75,63,0.83,0.75,4,0.43,96,95,93,0.19,9.8,14,34%,36,40,56,47%,44%,36%,52%,44,53,68,57%,51%,39%,16%,23,19,25,36%,37%,33%,3%,40,51,60,8%,6%,4%,10%,40,39,50,17%,16%,13%,5%,26,28,36,7%,7%,6%,18%,83,79,72,12%,13%,15%
11,TX2093782,Facility TX2093782,29.31513665,-95.35104702,9288,9279,2728,5400,894,1 miles,TX,Texas,6,80,85,91,74,79,86,88,91,92,89,91,95,81,85,89,92,94,92,90,92,90,99,99,99,93,95,97,95,96,92,80,82,88,9.56,84,87,82,8.43,8.37,8.3,33.4,12,8,7,38.4,39.4,43,0.718,90,90-95th,80-90th,0.429,0.401,0.479,55,96,95-100th,95-100th,35,36,32,0.5,85,70-80th,60-70th,0.43,0.45,0.44,1200,91,92,84,470,400,750,0.31,81,80,63,0.15,0.17,0.28,1,99,99,98,0.085,0.081,0.13,2.8,93,94,95,0.91,0.82,0.74,2.9,94,94,83,0.83,0.75,4,0.0024,69,70,71,0.19,9.8,14,75%,84,87,92,47%,44%,36%,93%,84,88,92,57%,51%,39%,57%,79,79,85,36%,37%,33%,23%,89,92,94,8%,6%,4%,43%,90,92,96,17%,16%,13%,8%,58,61,70,7%,7%,6%,10%,48,41,30,12%,13%,15%
12,TX8084227,Facility TX8084227,29.19890965,-95.08200222,13765,13756,4455,8328,3190,1 miles,TX,Texas,6,79,85,90,74,79,85,95,96,96,81,85,91,85,88,91,95,96,94,96,97,96,99,99,99,93,95,97,91,93,89,75,78,86,10.1,98,98,90,8.43,8.37,8.3,35.4,23,18,11,38.4,39.4,43,1.27,99,95-100th,95-100th,0.429,0.401,0.479,43,91,80-90th,90-95th,35,36,32,0.61,97,90-95th,80-90th,0.43,0.45,0.44,2100,95,96,91,470,400,750,0.62,93,93,83,0.15,0.17,0.28,2,99,99,99,0.085,0.081,0.13,3.2,95,95,96,0.91,0.82,0.74,2,89,90,77,0.83,0.75,4,0.00043,58,59,61,0.19,9.8,14,77%,87,89,93,47%,44%,36%,96%,89,91,94,57%,51%,39%,58%,80,80,86,36%,37%,33%,15%,80,86,90,8%,6%,4%,41%,89,91,95,17%,16%,13%,9%,68,70,78,7%,7%,6%,11%,53,46,36,12%,13%,15%
13,TX1093647,Facility TX1093647,30.85803937,-93.68506688,2,2,1,2,0,1 miles,TX,Texas,6,14,14,20,17,18,28,15,14,22,7,8,7,8,9,10,13,12,23,51,52,62,4,4,12,17,17,24,20,19,32,2,3,5,8.37,46,47,51,8.43,8.37,8.3,33.7,14,10,8,38.4,39.4,43,0.344,38,<50th,<50th,0.429,0.401,0.479,53,96,90-95th,95-100th,35,36,32,0.62,98,95-100th,80-90th,0.43,0.45,0.44,150,45,50,42,470,400,750,0,25,20,10,0.15,0.17,0.28,0.13,83,84,74,0.085,0.081,0.13,0.25,35,40,44,0.91,0.82,0.74,0.18,34,39,32,0.83,0.75,4,0.061,90,90,88,0.19,9.8,14,10%,2,2,7,47%,44%,36%,7%,2,4,15,57%,51%,39%,13%,17,14,18,36%,37%,33%,0%,26,36,45,8%,6%,4%,0%,3,3,4,17%,16%,13%,7%,46,49,58,7%,7%,6%,18%,81,78,70,12%,13%,15%
14,TX3840358,Facility TX3840358,28.16361499,-99.42445885,4076,4062,1260,2117,225,1 miles,TX,Texas,6,72,78,86,75,80,86,53,60,71,76,81,89,75,80,86,68,74,77,84,86,85,50,57,67,44,51,64,43,50,62,N/A,61,74,6.75,7,9,16,8.43,8.37,8.3,32.9,10,7,6,38.4,39.4,43,0.103,3,<50th,<50th,0.429,0.401,0.479,32,36,<50th,50-60th,35,36,32,0.38,26,<50th,<50th,0.43,0.45,0.44,160,48,52,44,470,400,750,0.16,71,67,47,0.15,0.17,0.28,0.0074,3,2,2,0.085,0.081,0.13,0.028,0,1,1,0.91,0.82,0.74,0.016,0,1,0,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,77%,87,89,93,47%,44%,36%,96%,90,92,95,57%,51%,39%,58%,79,79,85,36%,37%,33%,16%,82,87,90,8%,6%,4%,43%,90,92,96,17%,16%,13%,7%,52,55,65,7%,7%,6%,10%,47,40,30,12%,13%,15%
15,TX310199,Facility TX310199,29.81371389,-94.07604667,0,0,0,0,0,1 miles,TX,Texas,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.43,8.37,8.3,N/A,N/A,N/A,N/A,38.4,39.4,43,N/A,N/A,N/A,N/A,0.429,0.401,0.479,N/A,N/A,N/A,N/A,35,36,32,N/A,N/A,N/A,N/A,0.43,0.45,0.44,N/A,N/A,N/A,N/A,470,400,750,N/A,N/A,N/A,N/A,0.15,0.17,0.28,N/A,N/A,N/A,N/A,0.085,0.081,0.13,N/A,N/A,N/A,N/A,0.91,0.82,0.74,N/A,N/A,N/A,N/A,0.83,0.75,4,N/A,N/A,N/A,N/A,0.19,9.8,14,N/A,N/A,N/A,N/A,47%,44%,36%,N/A,N/A,N/A,N/A,57%,51%,39%,N/A,N/A,N/A,N/A,36%,37%,33%,N/A,N/A,N/A,N/A,8%,6%,4%,N/A,N/A,N/A,N/A,17%,16%,13%,N/A,N/A,N/A,N/A,7%,7%,6%,N/A,N/A,N/A,N/A,12%,13%,15%
16,TX8555540,Facility TX8555540,32.1528341,-103.2409397,3508,3496,1315,1975,405,1 miles,TX,Texas,6,51,57,71,57,63,75,51,59,69,53,59,72,53,59,71,71,77,79,75,77,79,97,98,97,68,74,83,49,56,66,N/A,61,74,6.45,5,6,11,8.43,8.37,8.3,46.7,95,91,79,38.4,39.4,43,0.252,25,<50th,<50th,0.429,0.401,0.479,30,20,<50th,<50th,35,36,32,0.38,26,<50th,<50th,0.43,0.45,0.44,340,68,71,60,470,400,750,0.28,80,79,60,0.15,0.17,0.28,1.3,99,99,99,0.085,0.081,0.13,1.2,75,78,80,0.91,0.82,0.74,0.14,27,32,26,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,56%,62,67,78,47%,44%,36%,72%,62,69,80,57%,51%,39%,40%,58,56,65,36%,37%,33%,13%,77,83,87,8%,6%,4%,35%,83,87,93,17%,16%,13%,8%,59,62,71,7%,7%,6%,11%,52,45,34,12%,13%,15%
17,TX5862437,Facility TX5862437,30.61831325,-96.11965941,10027,9904,5573,7205,63,1 miles,TX,Texas,6,65,72,82,60,66,76,77,82,86,65,72,82,66,71,80,90,92,90,55,56,65,97,98,97,80,84,90,97,98,94,91,92,94,9.95,93,94,88,8.43,8.37,8.3,35.2,22,16,11,38.4,39.4,43,0.856,95,95-100th,80-90th,0.429,0.401,0.479,40,84,80-90th,80-90th,35,36,32,0.51,88,70-80th,70-80th,0.43,0.45,0.44,1800,94,95,89,470,400,750,0.0093,29,23,12,0.15,0.17,0.28,0.97,99,99,98,0.085,0.081,0.13,2.1,89,90,91,0.91,0.82,0.74,9.6,99,99,95,0.83,0.75,4,0.01,78,79,79,0.19,9.8,14,54%,60,65,77,47%,44%,36%,68%,59,66,77,57%,51%,39%,40%,59,57,66,36%,37%,33%,12%,74,81,86,8%,6%,4%,1%,6,6,7,17%,16%,13%,6%,36,38,47,7%,7%,6%,6%,24,19,12,12%,13%,15%
18,TX6149173,Facility TX6149173,29.31734609,-94.5595122,12251,12243,3997,7869,3069,1 miles,TX,Texas,6,76,82,89,71,76,83,94,95,95,78,83,90,82,85,90,94,96,94,95,96,95,99,99,99,91,93,96,84,88,85,65,68,79,10.1,98,98,90,8.43,8.37,8.3,35.6,24,19,12,38.4,39.4,43,1.26,99,95-100th,95-100th,0.429,0.401,0.479,43,91,80-90th,90-95th,35,36,32,0.62,98,90-95th,80-90th,0.43,0.45,0.44,2300,95,96,92,470,400,750,0.67,95,94,86,0.15,0.17,0.28,1.9,99,99,99,0.085,0.081,0.13,2.5,91,92,93,0.91,0.82,0.74,1.1,75,78,65,0.83,0.75,4,0.000012,43,44,46,0.19,9.8,14,73%,82,85,91,47%,44%,36%,94%,86,89,92,57%,51%,39%,53%,75,74,81,36%,37%,33%,14%,79,84,89,8%,6%,4%,38%,86,89,94,17%,16%,13%,8%,57,60,69,7%,7%,6%,12%,60,52,42,12%,13%,15%
19,TX7470247,Facility TX7470247,29.93780724,-95.44139477,23,23,8,17,1,1 miles,TX,Texas,6,31,34,49,32,35,51,32,35,50,31,33,46,31,34,47,28,29,44,15,19,42,14,14,28,30,31,45,35,38,54,N/A,61,74,7.83,20,20,34,8.43,8.37,8.3,32.6,9,6,6,38.4,39.4,43,0.203,19,<50th,<50th,0.429,0.401,0.479,34,56,50-60th,60-70th,35,36,32,0.41,40,<50th,<50th,0.43,0.45,0.44,55,24,29,26,470,400,750,0.11,65,60,40,0.15,0.17,0.28,0.16,87,88,80,0.085,0.081,0.13,0.22,32,38,42,0.91,0.82,0.74,0.049,7,11,7,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,28%,25,29,45,47%,44%,36%,35%,28,36,54,57%,51%,39%,20%,29,25,33,36%,37%,33%,4%,49,59,68,8%,6%,4%,25%,71,75,84,17%,16%,13%,4%,26,28,35,7%,7%,6%,16%,75,70,61,12%,13%,15%
20,TX6660588,Facility TX6660588,32.26926968,-96.68071478,6359,6357,1666,3405,1207,1 miles,TX,Texas,6,74,80,87,76,81,87,81,85,88,76,81,88,76,81,86,85,88,87,96,97,96,99,99,99,59,67,77,90,92,88,91,92,94,8.83,69,68,66,8.43,8.37,8.3,41.9,74,68,38,38.4,39.4,43,0.615,79,80-90th,70-80th,0.429,0.401,0.479,38,77,70-80th,70-80th,35,36,32,0.48,72,60-70th,60-70th,0.43,0.45,0.44,670,82,85,74,470,400,750,0.69,95,95,87,0.15,0.17,0.28,1.3,99,99,99,0.085,0.081,0.13,0.27,37,43,47,0.91,0.82,0.74,2,88,90,77,0.83,0.75,4,0.035,87,87,86,0.19,9.8,14,71%,80,83,90,47%,44%,36%,88%,79,83,89,57%,51%,39%,54%,76,76,82,36%,37%,33%,30%,93,95,97,8%,6%,4%,44%,91,93,96,17%,16%,13%,8%,60,63,72,7%,7%,6%,6%,23,18,12,12%,13%,15%
21,TX2187500,Facility TX2187500,30.55433498,-95.23602624,15215,15163,6689,10389,233,1 miles,TX,Texas,6,79,84,90,74,79,86,88,91,92,78,83,90,78,82,88,83,87,86,64,65,71,99,99,99,65,71,81,86,89,86,84,86,91,9.99,94,95,89,8.43,8.37,8.3,37.1,39,33,18,38.4,39.4,43,0.79,94,90-95th,80-90th,0.429,0.401,0.479,40,83,80-90th,80-90th,35,36,32,0.49,78,60-70th,60-70th,0.43,0.45,0.44,550,78,81,70,470,400,750,0.03,43,36,21,0.15,0.17,0.28,0.96,99,99,98,0.085,0.081,0.13,0.35,43,48,52,0.91,0.82,0.74,1.3,79,81,69,0.83,0.75,4,0.0054,74,75,76,0.19,9.8,14,66%,74,78,86,47%,44%,36%,86%,76,81,87,57%,51%,39%,46%,67,66,74,36%,37%,33%,15%,80,85,89,8%,6%,4%,19%,63,66,77,17%,16%,13%,6%,45,48,57,7%,7%,6%,7%,32,26,18,12%,13%,15%
22,TX2786432,Facility TX2786432,33.21915681,-95.95954733,7798,7676,3062,4995,1418,1 miles,TX,Texas,6,76,82,88,77,82,88,82,86,88,77,82,89,80,84,89,79,84,83,91,92,90,99,99,99,72,78,86,69,75,77,83,85,90,8.75,64,63,63,8.43,8.37,8.3,40.4,66,60,30,38.4,39.4,43,0.582,76,70-80th,70-80th,0.429,0.401,0.479,37,72,60-70th,70-80th,35,36,32,0.51,87,70-80th,70-80th,0.43,0.45,0.44,350,68,72,60,470,400,750,0.4,86,85,70,0.15,0.17,0.28,0.95,99,99,98,0.085,0.081,0.13,0.63,57,61,65,0.91,0.82,0.74,0.33,49,54,45,0.83,0.75,4,0.0048,74,74,75,0.19,9.8,14,84%,94,95,97,47%,44%,36%,99%,95,96,97,57%,51%,39%,69%,89,89,93,36%,37%,33%,5%,53,63,71,8%,6%,4%,26%,73,77,86,17%,16%,13%,8%,62,65,74,7%,7%,6%,11%,54,47,36,12%,13%,15%
23,AK9323294,Facility AK9323294,55.17968894,-131.6559593,0,0,0,0,0,1 miles,AK,Alaska,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6,8.3,N/A,N/A,N/A,N/A,N/A,35.1,43,N/A,N/A,N/A,N/A,0.363,0.479,0.479,N/A,N/A,N/A,N/A,15,31,32,N/A,N/A,N/A,N/A,0.2,0.46,0.44,N/A,N/A,N/A,N/A,260,500,750,N/A,N/A,N/A,N/A,0.082,0.23,0.28,N/A,N/A,N/A,N/A,0.092,0.13,0.13,N/A,N/A,N/A,N/A,0.51,0.65,0.74,N/A,N/A,N/A,N/A,0.37,1.5,4,N/A,N/A,N/A,N/A,N/A,31,14,N/A,N/A,N/A,N/A,32%,29%,36%,N/A,N/A,N/A,N/A,38%,27%,39%,N/A,N/A,N/A,N/A,25%,31%,33%,N/A,N/A,N/A,N/A,2%,3%,4%,N/A,N/A,N/A,N/A,8%,9%,13%,N/A,N/A,N/A,N/A,7%,6%,6%,N/A,N/A,N/A,N/A,10%,15%,15%
24,TX3240697,Facility TX3240697,29.49702317,-95.5371511,11927,11593,3734,7593,106,1 miles,TX,Texas,6,80,85,91,76,81,87,86,90,91,79,84,90,79,83,88,80,85,84,62,64,70,95,96,96,73,78,86,81,85,83,82,84,89,10,94,95,89,8.43,8.37,8.3,37.8,47,40,20,38.4,39.4,43,0.685,88,80-90th,80-90th,0.429,0.401,0.479,40,84,80-90th,80-90th,35,36,32,0.48,75,60-70th,60-70th,0.43,0.45,0.44,330,66,70,58,470,400,750,0.026,42,34,20,0.15,0.17,0.28,0.29,95,95,91,0.085,0.081,0.13,0.67,59,63,67,0.91,0.82,0.74,0.8,68,71,60,0.83,0.75,4,0.0034,71,72,73,0.19,9.8,14,53%,59,64,76,47%,44%,36%,68%,58,66,77,57%,51%,39%,38%,56,54,63,36%,37%,33%,13%,77,83,87,8%,6%,4%,21%,65,69,79,17%,16%,13%,5%,35,37,45,7%,7%,6%,13%,62,55,45,12%,13%,15%
