OBJECTID,id,name,lat,lon,_ACSTOTPOP,_ACSIPOVBAS,_ACSTOTHH,_ACSEDUCBAS,_PRE1960,_buff,_stabbr,_statename,_region,_S_P_PM25,_R_P_PM25,_N_P_PM25,_S_P_O3,_R_P_O3,_N_P_O3,_S_P_DIESEL,_R_P_DIESEL,_N_P_DIESEL,_S_P_CANCER,_R_P_CANCER,_N_P_CANCER,_S_P_RESP,_R_P_RESP,_N_P_RESP,_S_P_TRAFFIC,_R_P_TRAFFIC,_N_P_TRAFFIC,_S_P_LEAD,_R_P_LEAD,_N_P_LEAD,_S_P_NPL,_R_P_NPL,_N_P_NPL,_S_P_RMP,_R_P_RMP,_N_P_RMP,_S_P_TSDF,_R_P_TSDF,_N_P_TSDF,_S_P_NPDES,_R_P_NPDES,_N_P_NPDES,_RAW_E_PM25,_S_E_PM25_PER,_R_E_PM25_PER,_N_E_PM25_PER,_S_E_PM25,_R_E_PM25,_N_E_PM25,_RAW_E_O3,_S_E_O3_PER,_R_E_O3_PER,_N_E_O3_PER,_S_E_O3,_R_E_O3,_N_E_O3,_RAW_E_DIESEL,_S_E_DIESEL_PER,_R_E_DIESEL_PER,_N_E_DIESEL_PER,_S_E_DIESEL,_R_E_DIESEL,_N_E_DIESEL,_RAW_E_CANCER,_S_E_CANCER_PER,_R_E_CANCER_PER,_N_E_CANCER_PER,_S_E_CANCER,_R_E_CANCER,_N_E_CANCER,_RAW_E_RESP,_S_E_RESP_PER,_R_E_RESP_PER,_N_E_RESP_PER,_S_E_RESP,_R_E_RESP,_N_E_RESP,_RAW_E_TRAFFIC,_S_E_TRAFFIC_PER,_R_E_TRAFFIC_PER,_N_E_TRAFFIC_PER,_S_E_TRAFFIC,_R_E_TRAFFIC,_N_E_TRAFFIC,_RAW_E_LEAD,_S_E_LEAD_PER,_R_E_LEAD_PER,_N_E_LEAD_PER,_S_E_LEAD,_R_E_LEAD,_N_E_LEAD,_RAW_E_NPL,_S_E_NPL_PER,_R_E_NPL_PER,_N_E_NPL_PER,_S_E_NPL,_R_E_NPL,_N_E_NPL,_RAW_E_RMP,_S_E_RMP_PER,_R_E_RMP_PER,_N_E_RMP_PER,_S_E_RMP,_R_E_RMP,_N_E_RMP,_RAW_E_TSDF,_S_E_TSDF_PER,_R_E_TSDF_PER,_N_E_TSDF_PER,_S_E_TSDF,_R_E_TSDF,_N_E_TSDF,_RAW_E_NPDES,_S_E_NPDES_PER,_R_E_NPDES_PER,_N_E_NPDES_PER,_S_E_NPDES,_R_E_NPDES,_N_E_NPDES,_RAW_D_INDEX,_S_D_INDEX_PER,_R_D_INDEX_PER,_N_D_INDEX_PER,_S_D_INDEX,_R_D_INDEX,_N_D_INDEX,_RAW_D_MINOR,_S_D_MINOR_PER,_R_D_MINOR_PER,_N_D_MINOR_PER,_S_D_MINOR,_R_D_MINOR,_N_D_MINOR,_RAW_D_INCOME,_S_D_INCOME_PER,_R_D_INCOME_PER,_N_D_INCOME_PER,_S_D_INCOME,_R_D_INCOME,_N_D_INCOME,_RAW_D_LING,_S_D_LING_PER,_R_D_LING_PER,_N_D_LING_PER,_S_D_LING,_R_D_LING,_N_D_LING,_RAW_D_LESSHS,_S_D_LESSHS_PER,_R_D_LESSHS_PER,_N_D_LESSHS_PER,_S_D_LESSHS,_R_D_LESSHS,_N_D_LESSHS,_RAW_D_UNDER5,_S_D_UNDER5_PER,_R_D_UNDER5_PER,_N_D_UNDER5_PER,_S_D_UNDER5,_R_D_UNDER5,_N_D_UNDER5,_RAW_D_OVER64,_S_D_OVER64_PER,_R_D_OVER64_PER,_N_D_OVER64_PER,_S_D_OVER64,_R_D_OVER64,_N_D_OVER64
537,MI2253210,Facility MI2253210,43.19329221,-83.93664259,4307,3195,1333,2033,1270,1 miles,MI,Michigan,5,77,77,63,77,77,63,76,76,62,77,77,61,77,76,61,77,78,66,81,81,76,96,96,91,82,79,69,81,80,73,89,85,81,8.37,30,26,51,8.56,8.63,8.3,45,74,66,64,44,43.4,43,0.228,36,<50th,<50th,0.338,0.446,0.479,22,39,<50th,<50th,24,26,32,0.26,33,<50th,<50th,0.29,0.34,0.44,280,54,61,55,660,530,750,0.79,85,87,92,0.38,0.38,0.28,1.5,99,99,99,0.15,0.13,0.13,0.77,78,65,70,0.53,0.82,0.74,1.6,78,70,73,1,1.5,4,0.00048,68,52,62,0.23,0.82,14,43%,79,79,66,29%,28%,36%,33%,74,73,52,25%,25%,39%,52%,80,83,80,33%,31%,33%,0%,63,59,45,2%,2%,4%,11%,66,65,56,10%,10%,13%,4%,28,25,26,6%,6%,6%,12%,32,36,41,16%,15%,15%
538,WI9778915,Facility WI9778915,43.08047743,-90.07190898,4444,4258,1879,3007,667,1 miles,WI,Wisconsin,5,54,49,36,51,46,34,48,49,37,53,50,41,52,50,42,34,26,21,46,36,20,4,3,2,45,40,27,30,25,16,18,27,16,6.89,20,9,17,7.89,8.63,8.3,39.2,30,14,26,40.5,43.4,43,0.238,41,<50th,<50th,0.301,0.446,0.479,19,27,<50th,<50th,21,26,32,0.24,29,<50th,<50th,0.27,0.34,0.44,310,57,63,58,600,530,750,0.32,52,51,64,0.36,0.38,0.28,0.56,96,95,95,0.12,0.13,0.13,0.35,49,48,52,0.89,0.82,0.74,1.2,62,64,67,1.4,1.5,4,0.0021,76,62,70,1.9,0.82,14,24%,67,57,39,24%,28%,36%,10%,52,41,22,18%,25%,39%,38%,74,68,64,29%,31%,33%,1%,64,60,46,2%,2%,4%,9%,64,55,47,8%,10%,13%,8%,76,73,71,6%,6%,6%,17%,61,62,66,16%,15%,15%
539,IA9240190,Facility IA9240190,42.70966233,-93.02605814,9228,8943,4207,6260,3263,1 miles,IA,Iowa,7,67,59,44,67,61,45,56,54,43,69,64,49,67,64,48,26,28,25,46,26,18,5,4,3,18,11,5,37,38,31,22,27,17,7.37,23,25,24,7.71,7.77,8.3,38.8,5,2,24,40.3,42.5,43,0.274,61,<50th,<50th,0.266,0.367,0.479,19,21,<50th,<50th,22,27,32,0.26,35,<50th,<50th,0.28,0.36,0.44,440,85,79,65,260,330,750,0.69,83,86,87,0.42,0.34,0.28,1.1,99,99,98,0.11,0.1,0.13,2.6,88,91,94,1.2,0.94,0.74,0.55,70,64,53,0.49,0.8,4,0.0014,72,62,68,0.54,0.97,14,25%,71,60,40,21%,26%,36%,11%,60,48,24,13%,19%,39%,38%,72,65,63,29%,32%,33%,2%,74,74,53,2%,2%,4%,10%,70,61,50,8%,10%,13%,5%,41,40,44,6%,6%,6%,19%,65,68,72,16%,15%,15%
540,CO9532487,Facility CO9532487,39.28100489,-105.8757871,0,0,0,0,0,1 miles,CO,Colorado,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.53,6.4,8.3,N/A,N/A,N/A,N/A,52.1,49.2,43,N/A,N/A,N/A,N/A,0.463,0.423,0.479,N/A,N/A,N/A,N/A,27,23,32,N/A,N/A,N/A,N/A,0.34,0.31,0.44,N/A,N/A,N/A,N/A,550,460,750,N/A,N/A,N/A,N/A,0.19,0.22,0.28,N/A,N/A,N/A,N/A,0.1,0.11,0.13,N/A,N/A,N/A,N/A,0.63,0.62,0.74,N/A,N/A,N/A,N/A,0.69,0.63,4,N/A,N/A,N/A,N/A,0.46,80,14,N/A,N/A,N/A,N/A,29%,26%,36%,N/A,N/A,N/A,N/A,31%,24%,39%,N/A,N/A,N/A,N/A,28%,29%,33%,N/A,N/A,N/A,N/A,3%,2%,4%,N/A,N/A,N/A,N/A,9%,8%,13%,N/A,N/A,N/A,N/A,6%,7%,6%,N/A,N/A,N/A,N/A,13%,13%,15%
541,MI1571234,Facility MI1571234,42.55009887,-86.44563212,3543,3522,1460,2024,387,1 miles,MI,Michigan,5,71,72,57,71,72,57,70,72,56,71,72,57,71,72,57,43,46,36,66,66,44,22,20,14,51,60,43,51,56,42,6,8,5,8.75,50,43,63,8.56,8.63,8.3,45.3,81,72,66,44,43.4,43,0.271,45,<50th,<50th,0.338,0.446,0.479,23,50,<50th,<50th,24,26,32,0.32,67,<50th,<50th,0.29,0.34,0.44,530,67,75,69,660,530,750,0.25,43,42,57,0.38,0.38,0.28,1.4,99,99,99,0.15,0.13,0.13,0.98,82,72,76,0.53,0.82,0.74,4.6,97,91,89,1,1.5,4,0.78,96,93,94,0.23,0.82,14,37%,74,75,60,29%,28%,36%,25%,69,67,45,25%,25%,39%,49%,77,80,77,33%,31%,33%,0%,63,58,45,2%,2%,4%,12%,69,68,58,10%,10%,13%,9%,81,78,76,6%,6%,6%,6%,8,10,12,16%,15%,15%
542,CO473024,Facility CO473024,40.38569218,-104.9079023,195,190,57,107,1,1 miles,CO,Colorado,8,36,38,33,41,41,24,38,36,29,41,40,36,38,39,34,54,55,39,41,54,46,1,3,2,36,41,28,49,52,44,N/A,82,74,7.12,60,60,20,6.53,6.4,8.3,52.3,51,59,92,52.1,49.2,43,0.337,40,<50th,<50th,0.463,0.423,0.479,22,39,50-60th,<50th,27,23,32,0.31,42,50-60th,<50th,0.34,0.31,0.44,42,17,22,22,550,460,750,0.021,37,27,17,0.19,0.22,0.28,0.53,97,96,95,0.1,0.11,0.13,0.26,47,48,46,0.63,0.62,0.74,0.093,23,27,17,0.69,0.63,4,0,N/A,35,37,0.46,80,14,24%,50,56,39,29%,26%,36%,42%,74,83,61,31%,24%,39%,6%,10,6,6,28%,29%,33%,7%,86,90,78,3%,2%,4%,1%,17,15,8,9%,8%,13%,9%,82,77,82,6%,7%,6%,3%,4,4,3,13%,13%,15%
543,MI5028218,Facility MI5028218,42.71221292,-84.52043251,1208,1206,447,859,134,1 miles,MI,Michigan,5,9,12,7,10,11,8,13,21,17,11,16,15,11,18,18,25,24,19,7,9,6,1,0,0,18,29,19,41,48,35,30,40,26,8.67,45,39,60,8.56,8.63,8.3,44.4,43,48,56,44,43.4,43,0.265,44,<50th,<50th,0.338,0.446,0.479,22,36,<50th,<50th,24,26,32,0.26,38,<50th,<50th,0.29,0.34,0.44,130,42,44,40,660,530,750,0.27,46,45,59,0.38,0.38,0.28,0.5,93,95,95,0.15,0.13,0.13,0.22,52,37,41,0.53,0.82,0.74,0.089,18,13,16,1,1.5,4,0.00006,55,41,52,0.23,0.82,14,9%,9,11,6,29%,28%,36%,3%,10,13,6,25%,25%,39%,15%,21,24,23,33%,31%,33%,0%,63,58,45,2%,2%,4%,5%,30,32,27,10%,10%,13%,6%,55,51,49,6%,6%,6%,16%,58,61,64,16%,15%,15%
544,WI2351727,Facility WI2351727,43.99978946,-90.59556631,2967,2881,1152,1922,271,1 miles,WI,Wisconsin,5,28,27,19,24,23,17,30,35,26,25,30,26,26,31,28,44,34,27,50,38,21,1,0,0,36,31,20,22,17,11,22,30,18,6.88,20,8,17,7.89,8.63,8.3,39.3,30,14,26,40.5,43.4,43,0.22,37,<50th,<50th,0.301,0.446,0.479,19,23,<50th,<50th,21,26,32,0.23,25,<50th,<50th,0.27,0.34,0.44,150,42,47,43,600,530,750,0.23,36,39,55,0.36,0.38,0.28,0.75,98,97,97,0.12,0.13,0.13,0.26,43,42,46,0.89,0.82,0.74,1.2,62,64,67,1.4,1.5,4,0.00078,68,55,65,1.9,0.82,14,22%,62,51,34,24%,28%,36%,15%,64,51,30,18%,25%,39%,29%,57,53,49,29%,31%,33%,2%,80,73,59,2%,2%,4%,4%,28,25,22,8%,10%,13%,11%,91,89,88,6%,6%,6%,16%,58,60,63,16%,15%,15%
545,IA3466283,Facility IA3466283,41.25211028,-91.05000134,6519,5742,2470,4488,1388,1 miles,IA,Iowa,7,90,85,65,90,84,65,89,82,63,90,84,64,91,84,64,91,87,70,92,87,78,98,98,92,93,91,82,86,80,59,6,13,9,7.88,62,57,35,7.71,7.77,8.3,39.8,33,10,27,40.3,42.5,43,0.19,37,<50th,<50th,0.266,0.367,0.479,30,98,60-70th,<50th,22,27,32,0.39,97,60-70th,<50th,0.28,0.36,0.44,210,68,62,49,260,330,750,0.51,60,71,77,0.42,0.34,0.28,1.3,99,99,98,0.11,0.1,0.13,1.5,72,79,86,1.2,0.94,0.74,0.027,2,6,2,0.49,0.8,4,0.16,97,92,91,0.54,0.97,14,39%,88,82,63,21%,26%,36%,28%,86,78,48,13%,19%,39%,49%,86,80,77,29%,32%,33%,2%,79,79,59,2%,2%,4%,6%,48,42,34,8%,10%,13%,5%,45,43,46,6%,6%,6%,19%,68,71,74,16%,15%,15%
546,CO9684737,Facility CO9684737,40.18934733,-105.9200319,39,39,17,31,2,1 miles,CO,Colorado,8,64,70,54,64,70,52,57,59,51,63,69,54,63,69,54,52,53,37,40,54,46,26,27,21,46,50,35,45,49,41,27,22,11,6.52,47,51,12,6.53,6.4,8.3,55,99,97,95,52.1,49.2,43,0.308,36,<50th,<50th,0.463,0.423,0.479,25,52,60-70th,<50th,27,23,32,0.32,43,50-60th,<50th,0.34,0.31,0.44,250,48,54,52,550,460,750,0.1,61,53,38,0.19,0.22,0.28,0.43,96,95,94,0.1,0.11,0.13,0.81,76,75,71,0.63,0.62,0.74,0.58,67,69,54,0.69,0.63,4,0.038,72,76,86,0.46,80,14,30%,60,67,49,29%,26%,36%,30%,58,71,49,31%,24%,39%,30%,61,59,51,28%,29%,33%,0%,46,55,45,3%,2%,4%,0%,8,7,4,9%,8%,13%,2%,13,10,13,6%,7%,6%,13%,56,55,45,13%,13%,15%
